label,class_name,rms,peak,crest_factor,kurtosis,skewness,shape_factor,impulse_factor,variance,mean_abs,dominant_freq,spectral_centroid,spectral_entropy,band_power_shaft,band_power_bpfo,band_power_bpfi,band_power_bsf,band_power_resonance,fft_peak1_freq,fft_peak1_mag,fft_peak2_freq,fft_peak2_mag,fft_peak3_freq,fft_peak3_mag,fft_peak4_freq,fft_peak4_mag,fft_peak5_freq,fft_peak5_mag
0,Normal,0.317987046,0.717981009,2.257893893,-1.042636934,-0.231760195,1.143222524,2.581275156,0.098450522,0.278149738,35.15625,2133.405324,5.503882188,0.017241268,0.00029101,8.50E-05,6.49E-05,0.000447321,35.15625,0.084394436,23.4375,0.084208074,58.59375,0.036970566,46.875,0.02628799,70.3125,0.019985051
0,Normal,0.319629613,0.775401108,2.425936381,-0.912364902,-0.251604731,1.1558961,2.804130402,0.099953566,0.276521059,23.4375,2285.185065,5.566436626,0.016740353,0.000359597,8.56E-05,7.54E-05,0.00068761,23.4375,0.083948779,35.15625,0.082497567,58.59375,0.036378947,46.875,0.024199317,70.3125,0.018321059
0,Normal,0.316887403,0.63918541,2.01707422,-1.036794909,-0.2558891,1.145775744,2.311114716,0.097179588,0.276570179,35.15625,1909.026083,5.160262237,0.0180222,0.000305303,3.33E-05,3.18E-05,0.000238685,35.15625,0.085952068,23.4375,0.085847153,58.59375,0.03867098,46.875,0.027994416,11.71875,0.019365894
0,Normal,0.317542765,0.689514802,2.171407694,-1.083521655,-0.246883438,1.141993157,2.479732726,0.097913047,0.278060129,23.4375,1973.654966,5.249705478,0.017697603,0.000248809,3.03E-05,2.50E-05,0.000257105,23.4375,0.087169935,35.15625,0.085272757,58.59375,0.037054789,46.875,0.026481962,11.71875,0.020000859
0,Normal,0.316871905,0.671132529,2.117993168,-1.074798108,-0.265417549,1.140722379,2.416042205,0.09765074,0.27778179,23.4375,1971.416885,5.254226678,0.017689632,0.000318461,2.56E-05,2.87E-05,0.000250754,23.4375,0.08602022,35.15625,0.085105439,58.59375,0.037975878,46.875,0.025389911,70.3125,0.020076484
0,Normal,0.312120596,0.686253655,2.198681098,-1.097899165,-0.247469487,1.136584604,2.498987084,0.094071989,0.274612726,35.15625,1962.925665,5.253753618,0.017313452,0.000314224,1.72E-05,1.90E-05,0.000267284,35.15625,0.084292379,23.4375,0.083906734,58.59375,0.037539529,46.875,0.027136188,70.3125,0.019489067
0,Normal,0.318481179,0.642172037,2.016357886,-0.989612411,-0.271445754,1.150528556,2.319877326,0.098155521,0.276812929,35.15625,2122.810308,5.41143199,0.016990097,0.000344698,5.00E-05,4.01E-05,0.000404624,35.15625,0.083645664,23.4375,0.083611455,58.59375,0.037324065,46.875,0.024149152,70.3125,0.019762085
0,Normal,0.316315624,0.659322509,2.084381738,-1.046019472,-0.258842429,1.144918902,2.386448051,0.097383794,0.276277755,23.4375,2014.202851,5.258486823,0.017161643,0.000252966,2.95E-05,2.27E-05,0.00028214,23.4375,0.084795228,35.15625,0.08398708,58.59375,0.037833447,46.875,0.024917774,70.3125,0.018818041
0,Normal,0.32179549,0.714478745,2.22028825,-0.949477184,-0.291804718,1.158315273,2.57179379,0.100588206,0.277813388,35.15625,2178.873131,5.508853788,0.017414143,0.000420104,0.000110647,0.00010347,0.000474484,35.15625,0.084619713,23.4375,0.08452911,58.59375,0.038193267,46.875,0.025574589,70.3125,0.018577105
0,Normal,0.312705378,0.693251352,2.216947326,-1.043663129,-0.238094731,1.150394674,2.550364398,0.095198619,0.271824431,23.4375,2030.184566,5.292107854,0.017388427,0.000260364,3.12E-05,2.39E-05,0.000303556,23.4375,0.085240013,35.15625,0.084207652,58.59375,0.037744695,46.875,0.02739297,11.71875,0.018530258
0,Normal,0.311203973,0.649066202,2.085661684,-1.034928513,-0.237927768,1.14947459,2.39741511,0.093844622,0.270735843,35.15625,2099.170062,5.434961578,0.016631431,0.000294604,4.43E-05,4.00E-05,0.000370223,35.15625,0.083260049,23.4375,0.082871451,58.59375,0.036443773,46.875,0.026034869,11.71875,0.018067157
0,Normal,0.309865094,0.646665198,2.086924955,-1.00799995,-0.309234061,1.142595369,2.384510789,0.093358442,0.271194075,23.4375,1886.820466,5.191918621,0.017348985,0.000294766,3.28E-05,3.33E-05,0.000230731,23.4375,0.084388404,35.15625,0.084311071,58.59375,0.038363064,46.875,0.025807887,70.3125,0.019590945
0,Normal,0.316071372,0.668303121,2.114405731,-1.029735908,-0.247089214,1.14769662,2.42669631,0.097003125,0.275396273,35.15625,2109.155854,5.408751168,0.017439376,0.000380529,4.86E-05,5.18E-05,0.0004015,35.15625,0.085113077,23.4375,0.084037126,58.59375,0.03710553,46.875,0.027232781,82.03125,0.019275061
